sampleid	shannon_entropy	observed_features	faith_pd	orig_ID	location	sex	age	BCS	min_to_collect	Vehic	Vehic_cat	Vehic_1	Vehic_2	Month	Month_order	Rain
2177-111-M092-EMAX-SL-24-RV	8.674956058	1209	71.21530802	M092	Minneriya	F	Adult	3	120	137	high	109	130	September	5_September	23.99999988
2177-112-M093-EMAX-SL-24-RV	8.598036562	1133	85.37277018	M093	Minneriya	F	Adult	3	86	246	high	137	109	September	5_September	23.99999988
2177-113-M094-EMAX-SL-24-RV	8.549226758	1134	86.26020272	M094	Minneriya	F	Adult	3	15	246	high	137	109	September	5_September	23.99999988
2177-114-K020-EMAX-SL-24-RV	7.97660365	977	73.84363966	K020	Kaudulla	F	Adult	3	12	9	low	19	14	October	6_October	395.9000061
2177-115-K021-EMAX-SL-24-RV	8.117279466	1044	65.85727992	K021	Kaudulla	F	Adult	3	43	1	low	6	9	October	6_October	395.9000061
2177-116-K023-EMAX-SL-24-RV	7.928160397	984	63.02621455	K023	Kaudulla	F	Juvenile	3	23	1	low	1	6	October	6_October	395.9000061
2177-118-K024-EMAX-SL-24-RV	8.756848126	1144	71.38477678	K024	Kaudulla	F	Adult	3	5	0	low	1	1	October	6_October	395.9000061
2177-119-K025-EMAX-SL-24-RV	7.198946598	851	63.70031521	K025	Kaudulla	F	Adult	3	10	0	low	1	1	October	6_October	395.9000061
2177-120-K026-EMAX-SL-24-RV	7.894643623	977	63.56615056	K026	Kaudulla	F	Adult	3	100	3	low	0	1	October	6_October	395.9000061
2177-121-K027-EMAX-SL-24-RV	8.263343163	1074	67.79678014	K027	Kaudulla	M	Adult	3	44	7	low	3	0	October	6_October	395.9000061
2177-122-K028-EMAX-SL-24-RV	8.462313666	1026	73.62051577	K028	Kaudulla	F	Adult	3	14	7	low	1	5	October	6_October	395.9000061
2177-123-K029-EMAX-SL-24-RV	7.921700888	908	59.69202941	K029	Kaudulla	M	Adult	3	12	4	low	7	1	October	6_October	395.9000061
2177-125-K030-EMAX-SL-24-RV	8.036062982	874	65.30684529	K030	Kaudulla	F	Juvenile	3	13	8	low	3	4	October	6_October	395.9000061
2177-126-K032-EMAX-SL-24-RV	8.412625569	1024	76.37949615	K032	Kaudulla	F	Adult	3	5	9	low	19	14	October	6_October	395.9000061
2177-127-K032-EMAX-SL-24-RV	8.138339216	874	77.24711083	M095	Minneriya	M	Adult	3	20	18	avg	20	20	November	7_November	382.5999978
2177-129-M095-EMAX-SL-24-RV	7.667875623	1012	71.97079143	M096	Minneriya	M	Juvenile	3	20	20	avg	45	17	November	7_November	382.5999978
2177-130-M096-EMAX-SL-24-RV	7.866534991	938	67.07883937	M097	Minneriya	F	Adult	3	37	23	avg	24	20	November	7_November	382.5999978
2177-131-M097-EMAX-SL-24-RV	8.044742675	926	74.76667796	M098	Minneriya	M	Juvenile	3	22	24	avg	23	24	November	7_November	382.5999978
2177-132-M098-EMAX-SL-24-RV	7.36081109	689	74.42302985	M099	Minneriya	F	Adult	4	6	24	avg	23	24	November	7_November	382.5999978
2177-133-M099-EMAX-SL-24-RV	8.478390744	1122	83.27898634	M100	Minneriya	F	Adult	3	14	3	low	3	3	December	8_December	426.4000025
2177-135-M100-EMAX-SL-24-RV	7.379962232	827	101.2537421	M101	Minneriya	M	Adult	3	34	3	low	3	3	December	8_December	426.4000025
2177-136-M101-EMAX-SL-24-RV	7.585670794	905	72.833203	M102	Minneriya	F	Juvenile	3	50	3	low	3	3	December	8_December	426.4000025
2177-137-M102-EMAX-SL-24-RV	6.833230633	768	68.60916973	M103	Minneriya	F	Juvenile	3	50	3	low	3	3	December	8_December	426.4000025
2177-138-M103-EMAX-SL-24-RV	7.829228372	991	74.0135186	M022	Minneriya	M	Juvenile	4	41	72	high	96	113	June	2_June	3.5
2177-139-M022-2-EMAX-SL-24-RV	7.607705491	932	75.33614406	K032	Kaudulla	F	Adult	3	5	9	low	19	14	October	6_October	395.9000061
